"filename", "language", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Personal_info_form.js", "JavaScript", 0, 268, 0, 0, 2, 27, 297
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Profile.js", "JavaScript", 0, 21, 0, 0, 0, 3, 24
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Profile_form.js", "JavaScript", 0, 222, 0, 0, 2, 30, 254
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Reports_admin_charge.js", "JavaScript", 0, 17, 0, 0, 0, 5, 22
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Reports_tds_charge.js", "JavaScript", 0, 17, 0, 0, 0, 5, 22
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Right_team.js", "JavaScript", 0, 17, 0, 0, 0, 3, 20
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Sidebar.js", "JavaScript", 0, 85, 0, 0, 0, 18, 103
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Support.js", "JavaScript", 0, 32, 0, 0, 0, 3, 35
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Table_buttons.js", "JavaScript", 0, 15, 0, 0, 0, 4, 19
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Team.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Tree_card.js", "JavaScript", 0, 22, 0, 0, 0, 3, 25
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Tree_outside.js", "JavaScript", 0, 52, 0, 0, 3, 2, 57
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Update_bank_details.js", "JavaScript", 0, 26, 0, 0, 0, 6, 32
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Update_kyc.js", "JavaScript", 0, 10, 0, 0, 0, 3, 13
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Upload_kyc_form.js", "JavaScript", 0, 95, 0, 0, 2, 20, 117
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\User_card.js", "JavaScript", 0, 22, 0, 0, 0, 3, 25
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Wallet.js", "JavaScript", 0, 39, 0, 0, 0, 4, 43
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Widraw_request.js", "JavaScript", 0, 11, 0, 0, 0, 3, 14
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\dashboard\DataCard.js", "JavaScript", 0, 10, 0, 0, 0, 5, 15
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\dashboard\QuickLinks.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\index.css", "CSS", 12, 0, 0, 0, 0, 2, 14
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\index.js", "JavaScript", 0, 10, 0, 0, 3, 4, 17
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 4, 1, 6
"Total", "-", 266, 2316, 200, 1, 68, 429, 3280
